epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.864,1.19701,1.64137,1.09386,0.85998,0.88019,0.91725,0.67373,0.95945,1.07491,0.90875,0.000658009,0.000658009,0.000658009
2,766.706,1.00262,0.73689,0.97615,0.89947,0.90892,0.95384,0.71078,0.91485,0.76864,0.9359,0.00131156,0.00131156,0.00131156
3,1221.02,0.99568,0.69197,0.97069,0.91277,0.89395,0.95263,0.69037,0.9482,1.03805,0.92474,0.00195191,0.00195191,0.00195191
4,1680.97,0.96132,0.63965,0.95692,0.90146,0.92197,0.95988,0.73436,0.86709,0.60402,0.92204,0.0019406,0.0019406,0.0019406
5,2001.46,0.93376,0.58388,0.94835,0.91104,0.92739,0.96112,0.71112,0.92285,0.61567,0.94372,0.0019208,0.0019208,0.0019208
6,2236.36,0.93939,0.56917,0.9482,0.95194,0.92736,0.97695,0.74303,0.87583,0.51429,0.91664,0.001901,0.001901,0.001901
7,2608.83,0.92795,0.54752,0.94362,0.92831,0.95541,0.9707,0.75184,0.85264,0.50142,0.90885,0.0018812,0.0018812,0.0018812
8,3070.76,0.91786,0.53518,0.9401,0.94976,0.93344,0.98021,0.7612,0.84178,0.47655,0.91023,0.0018614,0.0018614,0.0018614
9,3525.96,0.92915,0.52641,0.94,0.94336,0.89841,0.96844,0.74709,0.83791,0.51825,0.91558,0.0018416,0.0018416,0.0018416
10,3975.68,0.90232,0.51294,0.93748,0.95613,0.93702,0.98177,0.75966,0.83281,0.47555,0.91142,0.0018218,0.0018218,0.0018218
11,4427.59,0.8901,0.50766,0.93655,0.95279,0.93408,0.98287,0.76663,0.8411,0.49925,0.91749,0.001802,0.001802,0.001802
12,4754.32,0.89536,0.50415,0.93348,0.91622,0.95701,0.97513,0.75674,0.84685,0.48133,0.91355,0.0017822,0.0017822,0.0017822
13,4984.63,0.88203,0.48957,0.92906,0.94622,0.92643,0.98109,0.76454,0.80853,0.46502,0.89843,0.0017624,0.0017624,0.0017624
14,5211.34,0.88626,0.47401,0.9281,0.95406,0.92866,0.98277,0.75633,0.87305,0.4595,0.9199,0.0017426,0.0017426,0.0017426
15,5667.63,0.88395,0.47512,0.92369,0.93175,0.96092,0.98246,0.77872,0.78554,0.4501,0.89003,0.0017228,0.0017228,0.0017228
16,6117.88,0.87488,0.46852,0.92903,0.94265,0.92707,0.97735,0.76848,0.8328,0.44338,0.91054,0.001703,0.001703,0.001703
17,6577.47,0.88767,0.46935,0.92365,0.9433,0.92198,0.97767,0.76003,0.83832,0.44873,0.90317,0.0016832,0.0016832,0.0016832
18,7032.99,0.86394,0.45701,0.92164,0.95746,0.93889,0.98099,0.7792,0.80034,0.44064,0.89992,0.0016634,0.0016634,0.0016634
19,7493.66,0.88347,0.45542,0.92567,0.96113,0.93312,0.9822,0.77767,0.79428,0.43919,0.8982,0.0016436,0.0016436,0.0016436
20,7948.89,0.84593,0.44018,0.9178,0.93194,0.96372,0.98386,0.77864,0.80446,0.42328,0.90076,0.0016238,0.0016238,0.0016238
21,8247.19,0.85933,0.44489,0.92066,0.93405,0.95828,0.97918,0.77026,0.81765,0.44386,0.90238,0.001604,0.001604,0.001604
22,8709.46,0.86566,0.44879,0.91902,0.93628,0.95459,0.98073,0.76646,0.83638,0.442,0.91032,0.0015842,0.0015842,0.0015842
23,9147.75,0.83386,0.42977,0.91301,0.94503,0.93535,0.9756,0.77327,0.79024,0.43234,0.89995,0.0015644,0.0015644,0.0015644
24,9602.79,0.85081,0.4394,0.91626,0.96332,0.93679,0.98309,0.78235,0.79295,0.42168,0.89977,0.0015446,0.0015446,0.0015446
25,10056.3,0.84481,0.43713,0.91484,0.94873,0.95468,0.98376,0.78228,0.79926,0.39981,0.89944,0.0015248,0.0015248,0.0015248
26,10503,0.83939,0.42604,0.91663,0.91482,0.95573,0.97947,0.77741,0.7919,0.4321,0.89403,0.001505,0.001505,0.001505
27,10953.6,0.84412,0.41957,0.91655,0.94727,0.94936,0.98488,0.78538,0.77702,0.39482,0.88954,0.0014852,0.0014852,0.0014852
28,11404.6,0.83674,0.41869,0.90887,0.96811,0.93631,0.9829,0.77646,0.80912,0.41909,0.89777,0.0014654,0.0014654,0.0014654
29,11851.5,0.82818,0.42032,0.90983,0.96738,0.93854,0.98261,0.77919,0.80072,0.4043,0.89807,0.0014456,0.0014456,0.0014456
30,12300.8,0.83788,0.42489,0.912,0.95582,0.95074,0.9856,0.77417,0.80757,0.41277,0.90084,0.0014258,0.0014258,0.0014258
31,12748.2,0.83084,0.41789,0.91141,0.96228,0.92628,0.98469,0.78409,0.787,0.40383,0.89173,0.001406,0.001406,0.001406
32,13198,0.82497,0.41504,0.90995,0.92458,0.96433,0.98422,0.77373,0.81609,0.40014,0.90192,0.0013862,0.0013862,0.0013862
