epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8337,1.34248,2.9854,1.27923,0.21867,0.98204,0.28889,0.16509,1.20041,3.04007,1.02156,0.000592593,0.000592593,0.000592593
2,50.1041,1.09402,1.61511,1.02128,0.208,0.93413,0.60164,0.37496,1.22373,2.68494,1.03515,0.00124679,0.00124679,0.00124679
3,74.6785,1.12599,1.17603,1.02715,0.51932,0.17365,0.35046,0.22492,1.33663,2.8155,1.19722,0.00188779,0.00188779,0.00188779
4,99.6205,1.09797,1.07524,1.06654,0.11226,0.45509,0.1855,0.09157,1.8102,3.53695,1.55449,0.0019406,0.0019406,0.0019406
5,123.992,1.04052,0.94328,1.01186,0.70993,0.12458,0.16645,0.09678,2.4299,3.75259,2.05588,0.0019208,0.0019208,0.0019208
6,148.405,1.09818,0.94591,1.02538,0.63075,0.67964,0.63017,0.4019,1.30836,1.679,1.1525,0.001901,0.001901,0.001901
7,174.276,0.98285,0.86183,0.99176,0.46123,0.71856,0.45747,0.31562,1.13571,1.79521,1.0466,0.0018812,0.0018812,0.0018812
8,199.141,0.94828,0.7996,0.97224,0.53654,0.68977,0.6065,0.43594,0.99611,1.51001,0.98845,0.0018614,0.0018614,0.0018614
9,223.11,0.94577,0.84314,0.98293,0.76286,0.75749,0.76209,0.54834,1.02163,1.28625,1.01026,0.0018416,0.0018416,0.0018416
10,247.489,0.925,0.78011,0.96897,0.87533,0.77246,0.82977,0.60491,1.03493,1.13606,0.99634,0.0018218,0.0018218,0.0018218
11,270.963,0.90019,0.72922,0.9669,0.92243,0.9491,0.9456,0.70334,0.9598,0.77406,0.97216,0.001802,0.001802,0.001802
12,294.757,0.90666,0.71957,0.94262,0.93382,0.91617,0.97027,0.71567,0.97105,0.68382,0.99357,0.0017822,0.0017822,0.0017822
13,319.542,0.93487,0.69135,0.94333,0.9043,0.877,0.94985,0.69161,1.01956,0.77881,0.99804,0.0017624,0.0017624,0.0017624
14,344.54,0.94984,0.69771,0.97126,0.87562,0.9491,0.92675,0.69866,0.89951,0.76122,0.95486,0.0017426,0.0017426,0.0017426
15,380.758,0.89461,0.69409,0.96522,0.93869,0.96267,0.95849,0.71975,0.94928,0.70529,0.98048,0.0017228,0.0017228,0.0017228
16,427.447,0.87705,0.68622,0.96101,0.94098,0.92515,0.95449,0.74299,0.86405,0.66977,0.93287,0.001703,0.001703,0.001703
17,475.324,0.87354,0.69034,0.93383,0.98461,0.95801,0.98208,0.72242,0.98652,0.60916,0.95899,0.0016832,0.0016832,0.0016832
18,523.431,0.87454,0.69749,0.95857,0.97526,0.96108,0.99012,0.74869,0.89906,0.59932,0.94456,0.0016634,0.0016634,0.0016634
19,569.991,0.85662,0.71653,0.95774,0.94789,0.98039,0.98351,0.74179,0.89835,0.63597,0.95771,0.0016436,0.0016436,0.0016436
20,617.6,0.82806,0.64582,0.93675,0.98055,0.94311,0.98547,0.74489,0.89794,0.62155,0.94895,0.0016238,0.0016238,0.0016238
21,663.057,0.83861,0.67018,0.94267,0.98423,0.93412,0.9706,0.74102,0.87427,0.5992,0.94394,0.001604,0.001604,0.001604
22,711.065,0.86467,0.64234,0.94247,0.95518,0.93413,0.97652,0.74635,0.9066,0.6256,0.95217,0.0015842,0.0015842,0.0015842
23,751.92,0.88682,0.65073,0.96939,0.93669,0.93019,0.96797,0.73392,0.92237,0.67542,0.955,0.0015644,0.0015644,0.0015644
24,775.54,0.87125,0.65164,0.9312,0.97193,0.94311,0.98661,0.75787,0.87507,0.61276,0.93606,0.0015446,0.0015446,0.0015446
25,800.501,0.85429,0.65859,0.94161,0.91037,0.91226,0.95176,0.69564,1.02549,0.76981,0.96273,0.0015248,0.0015248,0.0015248
26,825.355,0.87533,0.73742,0.94842,0.97642,0.94611,0.9818,0.75805,0.84978,0.59541,0.92893,0.001505,0.001505,0.001505
27,849.994,0.84842,0.63392,0.94012,0.96017,0.95808,0.97712,0.75047,0.87346,0.57635,0.93572,0.0014852,0.0014852,0.0014852
28,875.017,0.83378,0.63515,0.93764,0.96028,0.93114,0.97072,0.74602,0.88395,0.59001,0.9433,0.0014654,0.0014654,0.0014654
29,900.062,0.86893,0.67519,0.94197,0.93525,0.95137,0.97493,0.75029,0.86087,0.59052,0.93364,0.0014456,0.0014456,0.0014456
30,924.386,0.81453,0.59551,0.92786,0.91728,0.94311,0.97372,0.71982,0.92889,0.63259,0.94861,0.0014258,0.0014258,0.0014258
31,951.903,0.85589,0.6636,0.94096,0.94638,0.9511,0.98648,0.72736,0.93364,0.60733,0.94406,0.001406,0.001406,0.001406
32,999.058,0.86182,0.61686,0.92732,0.96041,0.9442,0.98666,0.76253,0.86213,0.58363,0.93017,0.0013862,0.0013862,0.0013862
33,1047.47,0.84199,0.6246,0.93461,0.9654,0.9491,0.98693,0.73929,0.94062,0.58523,0.9455,0.0013664,0.0013664,0.0013664
34,1094.61,0.86023,0.72003,0.95457,0.95492,0.95125,0.98388,0.73395,0.90246,0.58177,0.93688,0.0013466,0.0013466,0.0013466
35,1142.42,0.84388,0.58272,0.93147,0.97241,0.94968,0.98637,0.74411,0.90938,0.55922,0.93218,0.0013268,0.0013268,0.0013268
36,1190.63,0.86346,0.59571,0.9254,0.97888,0.95808,0.98716,0.77387,0.83908,0.54429,0.91229,0.001307,0.001307,0.001307
37,1237.65,0.83176,0.62703,0.9258,0.9757,0.96185,0.98332,0.77495,0.82587,0.54196,0.9062,0.0012872,0.0012872,0.0012872
38,1284.92,0.80534,0.54102,0.91251,0.96942,0.94929,0.98053,0.75131,0.88138,0.54012,0.9213,0.0012674,0.0012674,0.0012674
39,1331.46,0.87257,0.65639,0.93761,0.97285,0.96557,0.98704,0.76559,0.87248,0.54324,0.91649,0.0012476,0.0012476,0.0012476
40,1378.66,0.80846,0.56272,0.91779,0.97257,0.96407,0.98745,0.74235,0.89203,0.5282,0.92129,0.0012278,0.0012278,0.0012278
41,1424.79,0.84386,0.55066,0.9227,0.96408,0.96426,0.97698,0.74403,0.859,0.52844,0.91602,0.001208,0.001208,0.001208
42,1471.84,0.7899,0.54523,0.91316,0.97113,0.95509,0.97333,0.74737,0.87116,0.54471,0.92971,0.0011882,0.0011882,0.0011882
43,1519.01,0.8086,0.54827,0.91993,0.96414,0.96593,0.98535,0.74336,0.90976,0.52501,0.93367,0.0011684,0.0011684,0.0011684
44,1566.82,0.83316,0.58267,0.92152,0.97291,0.96778,0.99011,0.74703,0.9382,0.5282,0.93186,0.0011486,0.0011486,0.0011486
45,1614.26,0.82448,0.5352,0.91868,0.96406,0.96384,0.98704,0.76552,0.87127,0.52263,0.93216,0.0011288,0.0011288,0.0011288
46,1660.89,0.80822,0.53966,0.92063,0.97286,0.966,0.98562,0.76376,0.86582,0.49648,0.92385,0.001109,0.001109,0.001109
47,1707.83,0.83752,0.52494,0.92032,0.96605,0.96108,0.98269,0.76238,0.86647,0.50028,0.91691,0.0010892,0.0010892,0.0010892
48,1756.54,0.79094,0.50387,0.91325,0.967,0.9652,0.9818,0.75814,0.87302,0.5008,0.91499,0.0010694,0.0010694,0.0010694
49,1803.87,0.80576,0.53135,0.92721,0.96473,0.95509,0.98125,0.76212,0.88435,0.50562,0.92111,0.0010496,0.0010496,0.0010496
50,1851.4,0.80479,0.50488,0.90477,0.9605,0.94644,0.97924,0.73695,0.92125,0.51766,0.9268,0.0010298,0.0010298,0.0010298
51,1900.69,0.80204,0.53439,0.9177,0.95277,0.90603,0.97448,0.738,0.88457,0.53797,0.92346,0.00101,0.00101,0.00101
52,1949.88,0.81994,0.52584,0.92703,0.93438,0.93784,0.98156,0.77179,0.82086,0.52275,0.90868,0.0009902,0.0009902,0.0009902
53,1998.35,0.8031,0.50145,0.90415,0.94838,0.97904,0.98545,0.76279,0.87267,0.47958,0.92377,0.0009704,0.0009704,0.0009704
54,2047.02,0.78752,0.50105,0.91475,0.959,0.98051,0.98156,0.76052,0.85707,0.4752,0.91181,0.0009506,0.0009506,0.0009506
55,2094.5,0.7824,0.49131,0.90534,0.9702,0.97486,0.9879,0.77383,0.81936,0.46459,0.90983,0.0009308,0.0009308,0.0009308
56,2142.56,0.80161,0.49478,0.9049,0.98174,0.96597,0.99127,0.75886,0.87704,0.45958,0.92139,0.000911,0.000911,0.000911
57,2188.67,0.77311,0.49751,0.92196,0.96999,0.96786,0.98997,0.77152,0.85034,0.4664,0.9078,0.0008912,0.0008912,0.0008912
58,2235.72,0.7837,0.49248,0.90164,0.96554,0.97605,0.98287,0.75505,0.85268,0.45773,0.91035,0.0008714,0.0008714,0.0008714
59,2283.03,0.77011,0.49405,0.90742,0.97676,0.96707,0.98329,0.76273,0.86588,0.45161,0.9119,0.0008516,0.0008516,0.0008516
60,2329.4,0.78838,0.50568,0.92206,0.96316,0.97305,0.98538,0.77748,0.82904,0.46494,0.90067,0.0008318,0.0008318,0.0008318
61,2376.39,0.81719,0.4883,0.90438,0.95571,0.96916,0.98375,0.73605,0.92815,0.48358,0.91967,0.000812,0.000812,0.000812
62,2424.28,0.81886,0.50308,0.9135,0.97017,0.97368,0.98018,0.74429,0.89418,0.46714,0.9184,0.0007922,0.0007922,0.0007922
63,2470.99,0.78253,0.47163,0.90413,0.96992,0.96528,0.98129,0.77193,0.8544,0.46204,0.90909,0.0007724,0.0007724,0.0007724
64,2518.76,0.79922,0.5253,0.90931,0.97863,0.9599,0.98523,0.76382,0.89335,0.47672,0.91504,0.0007526,0.0007526,0.0007526
65,2565.13,0.77853,0.46552,0.89597,0.96347,0.9475,0.98483,0.76496,0.8687,0.48494,0.90752,0.0007328,0.0007328,0.0007328
66,2613.02,0.77466,0.48139,0.90089,0.97276,0.96227,0.98327,0.77438,0.83237,0.45281,0.89989,0.000713,0.000713,0.000713
67,2660.6,0.78997,0.49965,0.9062,0.96834,0.96108,0.98348,0.77877,0.83369,0.45034,0.90418,0.0006932,0.0006932,0.0006932
68,2706.75,0.78691,0.4835,0.90617,0.9744,0.96707,0.98611,0.77756,0.83641,0.45195,0.90593,0.0006734,0.0006734,0.0006734
69,2754.06,0.76185,0.46034,0.90441,0.9718,0.96707,0.98778,0.76066,0.86411,0.45946,0.91466,0.0006536,0.0006536,0.0006536
70,2800.93,0.76202,0.47628,0.90344,0.9808,0.95808,0.97854,0.75968,0.86757,0.47475,0.90768,0.0006338,0.0006338,0.0006338
71,2848.82,0.75487,0.4554,0.89922,0.95914,0.97006,0.97821,0.76011,0.84535,0.4712,0.90621,0.000614,0.000614,0.000614
72,2896.59,0.76162,0.46695,0.89691,0.96299,0.95808,0.97868,0.75575,0.84306,0.46618,0.90813,0.0005942,0.0005942,0.0005942
73,2942.82,0.79365,0.53525,0.90591,0.9584,0.96575,0.98084,0.75196,0.86961,0.46052,0.9066,0.0005744,0.0005744,0.0005744
74,2988.76,0.74978,0.44823,0.90654,0.97136,0.96407,0.97967,0.76419,0.8611,0.44224,0.91082,0.0005546,0.0005546,0.0005546
75,3034.74,0.77378,0.50594,0.90481,0.96132,0.96723,0.98212,0.75069,0.88343,0.44199,0.91655,0.0005348,0.0005348,0.0005348
76,3081.45,0.77688,0.47199,0.91749,0.96887,0.97305,0.98549,0.75011,0.88721,0.445,0.91636,0.000515,0.000515,0.000515
77,3129.18,0.77276,0.45775,0.90425,0.96693,0.96304,0.98631,0.76451,0.84941,0.45,0.90904,0.0004952,0.0004952,0.0004952
78,3176.28,0.75427,0.45162,0.88894,0.96658,0.9526,0.97375,0.7637,0.85739,0.47057,0.91288,0.0004754,0.0004754,0.0004754
79,3222.99,0.78017,0.46316,0.90889,0.97262,0.96407,0.9806,0.76891,0.84585,0.45921,0.90968,0.0004556,0.0004556,0.0004556
80,3269.21,0.74399,0.43563,0.90677,0.97178,0.96407,0.98329,0.78216,0.82806,0.4429,0.90275,0.0004358,0.0004358,0.0004358
81,3316.51,0.7534,0.45732,0.89883,0.97832,0.96407,0.98383,0.78054,0.84007,0.4413,0.9023,0.000416,0.000416,0.000416
82,3363.51,0.73735,0.43816,0.89256,0.97927,0.96108,0.98165,0.77185,0.8384,0.4368,0.90068,0.0003962,0.0003962,0.0003962
83,3411.33,0.74728,0.46201,0.90255,0.9809,0.96108,0.98191,0.77741,0.83112,0.43318,0.8989,0.0003764,0.0003764,0.0003764
84,3456.56,0.7625,0.43876,0.91799,0.98366,0.96108,0.98429,0.77794,0.84185,0.43122,0.90407,0.0003566,0.0003566,0.0003566
85,3503.6,0.74907,0.44906,0.89224,0.98469,0.96295,0.98592,0.77701,0.84414,0.42933,0.90308,0.0003368,0.0003368,0.0003368
86,3550.6,0.75357,0.45014,0.9063,0.98316,0.96407,0.98665,0.77475,0.82849,0.42682,0.90376,0.000317,0.000317,0.000317
87,3597.39,0.77366,0.45481,0.89943,0.98382,0.96407,0.98808,0.77598,0.82691,0.42603,0.9026,0.0002972,0.0002972,0.0002972
88,3644.72,0.72829,0.43846,0.89028,0.98219,0.96407,0.98673,0.77575,0.82932,0.42464,0.90082,0.0002774,0.0002774,0.0002774
89,3691.61,0.74596,0.4254,0.8902,0.98313,0.96407,0.9855,0.76822,0.84922,0.42755,0.90339,0.0002576,0.0002576,0.0002576
90,3739.53,0.7611,0.43772,0.90295,0.97879,0.96697,0.98704,0.76911,0.85425,0.42574,0.90692,0.0002378,0.0002378,0.0002378
91,3785.3,0.73447,0.42917,0.89192,0.97891,0.96108,0.98484,0.78301,0.82403,0.42538,0.90358,0.000218,0.000218,0.000218
92,3831.25,0.72794,0.42274,0.88945,0.97125,0.96707,0.98322,0.78108,0.82076,0.42144,0.90116,0.0001982,0.0001982,0.0001982
93,3876.54,0.81115,0.51982,0.93206,0.97005,0.96964,0.98233,0.77397,0.8283,0.41904,0.90365,0.0001784,0.0001784,0.0001784
94,3921.47,0.75871,0.46388,0.89902,0.96901,0.96108,0.9825,0.7696,0.84156,0.4253,0.91151,0.0001586,0.0001586,0.0001586
95,3967.14,0.72065,0.45956,0.90163,0.9669,0.96205,0.98389,0.76368,0.85698,0.43374,0.91458,0.0001388,0.0001388,0.0001388
96,4013.28,0.74594,0.4351,0.89501,0.97048,0.96108,0.98524,0.75936,0.87549,0.43477,0.91726,0.000119,0.000119,0.000119
97,4058.6,0.70512,0.41763,0.88749,0.97154,0.96108,0.98545,0.76354,0.87337,0.42917,0.91504,9.92e-05,9.92e-05,9.92e-05
98,4104.13,0.70714,0.43265,0.89254,0.97275,0.96201,0.98561,0.76782,0.85979,0.42502,0.91034,7.94e-05,7.94e-05,7.94e-05
99,4149.32,0.71031,0.39912,0.88097,0.97569,0.96128,0.98499,0.76695,0.84872,0.42244,0.908,5.96e-05,5.96e-05,5.96e-05
100,4194.73,0.70055,0.39727,0.88644,0.97396,0.96407,0.98478,0.76662,0.8409,0.42002,0.90589,3.98e-05,3.98e-05,3.98e-05
